Ano,IdServicio_master,servicio_salud_master,nivel_geografico,sexo,20_64_numerador,20_64_poblacion_inscrita_validada,gestantes_20_54,20_64_denominador,20_64_cobertura_pct
2023,10,Servicio de Salud Metropolitano Occidente,servicio_salud,Hombre,21822,314853.0,0.0,314853.0,6.930853445893797
2023,10,Servicio de Salud Metropolitano Occidente,servicio_salud,Mujer,52307,359936.0,5153.0,354783.0,14.743378346764077
2023,11,Servicio de Salud Metropolitano Central,servicio_salud,Hombre,12760,158634.0,0.0,158634.0,8.04367285701678
2023,11,Servicio de Salud Metropolitano Central,servicio_salud,Mujer,31170,234157.0,3364.0,230793.0,13.505608922281004
2023,12,Servicio de Salud Metropolitano Oriente,servicio_salud,Hombre,13762,168337.0,0.0,168337.0,8.175267469421458
2023,12,Servicio de Salud Metropolitano Oriente,servicio_salud,Mujer,34318,228767.0,2008.0,226759.0,15.134129185611156
2023,13,Servicio de Salud Metropolitano Sur,servicio_salud,Hombre,25178,302556.0,0.0,302556.0,8.321765226933197
2023,13,Servicio de Salud Metropolitano Sur,servicio_salud,Mujer,65070,347481.0,4280.0,343201.0,18.95973496580721
2023,14,Servicio de Salud Metropolitano Sur Oriente,servicio_salud,Hombre,14458,327226.0,0.0,327226.0,4.41835306485426
2023,14,Servicio de Salud Metropolitano Sur Oriente,servicio_salud,Mujer,44926,377919.0,5447.0,372472.0,12.061577783027987
2023,9,Servicio de Salud Metropolitano Norte,servicio_salud,Hombre,15051,207053.0,0.0,207053.0,7.269153308573167
2023,9,Servicio de Salud Metropolitano Norte,servicio_salud,Mujer,40434,252450.0,0.0,252450.0,16.01663695781343
2024,10,Servicio de Salud Metropolitano Occidente,servicio_salud,Hombre,30443,328238.0,0.0,328238.0,9.274672646067792
2024,10,Servicio de Salud Metropolitano Occidente,servicio_salud,Mujer,59261,374327.0,4595.0,369732.0,16.02809602631095
2024,11,Servicio de Salud Metropolitano Central,servicio_salud,Hombre,17305,171852.0,0.0,171852.0,10.069711146800737
2024,11,Servicio de Salud Metropolitano Central,servicio_salud,Mujer,37304,251723.0,3464.0,248259.0,15.026242754542634
2024,12,Servicio de Salud Metropolitano Oriente,servicio_salud,Hombre,18972,177883.0,0.0,177883.0,10.665437394242282
2024,12,Servicio de Salud Metropolitano Oriente,servicio_salud,Mujer,39198,239657.0,1882.0,237775.0,16.48533277257912
2024,13,Servicio de Salud Metropolitano Sur,servicio_salud,Hombre,35831,315708.0,0.0,315708.0,11.34941148149556
2024,13,Servicio de Salud Metropolitano Sur,servicio_salud,Mujer,69666,360861.0,4362.0,356499.0,19.541709794417375
2024,14,Servicio de Salud Metropolitano Sur Oriente,servicio_salud,Hombre,19680,339469.0,0.0,339469.0,5.79728929592982
2024,14,Servicio de Salud Metropolitano Sur Oriente,servicio_salud,Mujer,49754,389628.0,4401.0,385227.0,12.915501769086799
2024,9,Servicio de Salud Metropolitano Norte,servicio_salud,Hombre,20517,220990.0,0.0,220990.0,9.284130503642698
2024,9,Servicio de Salud Metropolitano Norte,servicio_salud,Mujer,44431,268438.0,0.0,268438.0,16.55168046252766
2025,10,Servicio de Salud Metropolitano Occidente,servicio_salud,Hombre,48873,338664.0,0.0,338664.0,14.431117567854864
2025,10,Servicio de Salud Metropolitano Occidente,servicio_salud,Mujer,82317,384097.0,4529.0,379568.0,21.687023142098386
2025,11,Servicio de Salud Metropolitano Central,servicio_salud,Hombre,25031,185050.0,0.0,185050.0,13.52661442853283
2025,11,Servicio de Salud Metropolitano Central,servicio_salud,Mujer,52653,269527.0,3230.0,266297.0,19.772284329151287
2025,12,Servicio de Salud Metropolitano Oriente,servicio_salud,Hombre,25679,185193.0,0.0,185193.0,13.86607485164126
2025,12,Servicio de Salud Metropolitano Oriente,servicio_salud,Mujer,47977,247442.0,2028.0,245414.0,19.54941445883283
2025,13,Servicio de Salud Metropolitano Sur,servicio_salud,Hombre,51420,324714.0,0.0,324714.0,15.83547367837543
2025,13,Servicio de Salud Metropolitano Sur,servicio_salud,Mujer,87458,370277.0,4217.0,366060.0,23.891711741244603
2025,14,Servicio de Salud Metropolitano Sur Oriente,servicio_salud,Hombre,30450,348607.0,0.0,348607.0,8.734764362161403
2025,14,Servicio de Salud Metropolitano Sur Oriente,servicio_salud,Mujer,65614,396822.0,4659.0,392163.0,16.731308155027374
2025,9,Servicio de Salud Metropolitano Norte,servicio_salud,Hombre,30177,232009.0,0.0,232009.0,13.00682301117629
2025,9,Servicio de Salud Metropolitano Norte,servicio_salud,Mujer,54481,281200.0,0.0,281200.0,19.374466571834994
